 Timestep   LgClust       c1         p1         c5         p5        c10        p10        c50        p50        c100       p100       c500       p500      c1000      p1000      c5000      p5000      c10000     p10000     c50000     p50000  
   0.0         6        92378      100000       9          46         0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0     
   0.1        359       22366      100000      3357      72535       1786      62415       332       33688       121       19191        0          0          0          0          0          0          0          0          0          0     
   0.2        392       21942      100000      3320      72726       1731      62412       328       34501       130       21117        0          0          0          0          0          0          0          0          0          0     
   0.3        577       21984      100000      3284      72866       1685      62547       324       34639       124       21320        1         577         0          0          0          0          0          0          0          0     
   0.4        543       22272      100000      3307      72178       1700      61790       330       34402       114       19605        1         543         0          0          0          0          0          0          0          0     
   0.5        610       21984      100000      3316      72481       1676      61994       289       33994       116       21670        1         610         0          0          0          0          0          0          0          0     
   0.6        698       21875      100000      3321      72890       1762      62796       293       32424       104       19407        4         2346        0          0          0          0          0          0          0          0     
   0.7        646       21991      100000      3283      72684       1704      62523       314       33831       109       19770        2         1193        0          0          0          0          0          0          0          0     
   0.8        713       21965      100000      3373      72833       1755      62342       317       33113       118       19650        2         1259        0          0          0          0          0          0          0          0     
   0.9        524       22037      100000      3356      72733       1743      62253       313       33862       121       20802        1         524         0          0          0          0          0          0          0          0     
   1.0        787       21991      100000      3319      72754       1701      62326       306       33861       111       20536        2         1318        0          0          0          0          0          0          0          0     
   1.1        491       22096      100000      3351      72672       1725      62138       332       34131       113       19344        0          0          0          0          0          0          0          0          0          0     
   1.2        623       21772      100000      3255      73012       1683      62888       321       35867       130       22494        1         623         0          0          0          0          0          0          0          0     
   1.3        654       22173      100000      3307      72532       1719      62239       310       34156       109       20269        4         2367        0          0          0          0          0          0          0          0     
   1.4        789       22096      100000      3215      72337       1639      62210       312       35323       125       22323        1         789         0          0          0          0          0          0          0          0     
   1.5        620       21988      100000      3301      72804       1687      62282       305       34016       123       21328        2         1197        0          0          0          0          0          0          0          0     
   1.6        676       22121      100000      3353      72701       1680      61794       288       33545       109       21360        3         1954        0          0          0          0          0          0          0          0     
   1.7        738       22015      100000      3305      72729       1687      62324       334       35334       115       20330        1         738         0          0          0          0          0          0          0          0     
   1.8        506       22152      100000      3304      72359       1717      62193       326       34072       123       20669        2         1008        0          0          0          0          0          0          0          0     
   1.9        583       22038      100000      3378      72839       1684      61925       321       34638       126       21580        1         583         0          0          0          0          0          0          0          0     
   2.0        733       22015      100000      3339      72506       1687      61898       324       34491       114       20211        3         1952        0          0          0          0          0          0          0          0     
   2.1        875       22306      100000      3272      72151       1717      62142       308       33977       109       20362        2         1547        0          0          0          0          0          0          0          0     
   2.2        994       22329      100000      3317      72339       1694      61886       295       33821       118       21657        2         1780        0          0          0          0          0          0          0          0     
   2.3        1319      22122      100000      3371      72414       1709      61737       328       34031       105       18859        1         1319        1         1319        0          0          0          0          0          0     
   2.4        1645      22211      100000      3387      72515       1727      61734       312       33026       113       20089        1         1645        1         1645        0          0          0          0          0          0     
   2.5        2262      22267      100000      3332      72274       1639      61338       295       34460       108       21634        3         3551        1         2262        0          0          0          0          0          0     
   2.6        2624      22316      100000      3420      72561       1748      61776       325       33653        93       17690        2         3218        1         2624        0          0          0          0          0          0     
   2.7        2764      22395      100000      3355      72352       1713      61694       282       33238       105       21004        2         3572        1         2764        0          0          0          0          0          0     
   2.8        3431      22274      100000      3410      72524       1708      61570       282       33003       101       20537        3         4508        1         3431        0          0          0          0          0          0     
   2.9        4273      22620      100000      3316      71549       1667      60929       256       32490       101       21772        2         4792        1         4273        0          0          0          0          0          0     
   3.0        5056      22347      100000      3327      72219       1715      61757       287       32921        97       19951        1         5056        1         5056        1         5056        0          0          0          0     
   3.1        6050      22625      100000      3354      71677       1672      60892       264       32123        79       19209        1         6050        1         6050        1         6050        0          0          0          0     
   3.2        7252      22806      100000      3319      71413       1631      60546       242       32501        83       21525        2         7762        1         7252        1         7252        0          0          0          0     
   3.3        8568      22959      100000      3228      71364       1564      60591       258       34511        92       23483        1         8568        1         8568        1         8568        0          0          0          0     
   3.4       10041      22968      100000      3291      71317       1607      60532       231       32990        64       21260        2        10677        1        10041        1        10041        1        10041        0          0     
   3.5       11648      23285      100000      3284      70734       1598      59919       233       33397        70       22275        1        11648        1        11648        1        11648        1        11648        0          0     
   3.6       13295      23465      100000      3426      70810       1664      59438       193       30995        49       21205        1        13295        1        13295        1        13295        1        13295        0          0     
   3.7       15312      23690      100000      3317      70500       1503      58787       196       33386        48       23297        2        16041        1        15312        1        15312        1        15312        0          0     
   3.8       17260      23813      100000      3279      69827       1489      58264       171       32658        41       23740        1        17260        1        17260        1        17260        1        17260        0          0     
   3.9       19420      23759      100000      3171      69778       1448      58598       141       33137        46       26511        1        19420        1        19420        1        19420        1        19420        0          0     
   4.0       21614      24092      100000      3155      69317       1384      57910       143       34271        40       27351        1        21614        1        21614        1        21614        1        21614        0          0     
   4.1       23817      24745      100000      3179      68439       1442      57281        96       32053        22       27040        1        23817        1        23817        1        23817        1        23817        0          0     
