           tauB                     NinLC                      phiL          
          11.50                     36459                    0.51097                   1.05708         
          11.60                     34877                    0.51045                   1.07492         
          11.70                     34832                    0.50914                   1.07548         
          11.80                     35481                    0.51107                   1.06312         
          11.90                     37517                    0.51084                   1.03325         
          12.00                     33842                    0.51288                   1.08316         
          12.10                     33530                    0.51307                   1.08472         
          12.20                     34878                    0.51178                   1.06359         
          12.30                     32562                    0.51301                   1.09584         
          12.40                     34775                    0.51207                   1.06435         
          12.50                     36459                    0.51286                   1.04450         
          12.60                     35803                    0.51401                   1.05265         
          12.70                     35033                    0.51294                   1.06252         
          12.80                     35488                    0.51389                   1.05320         
          12.90                     35538                    0.51437                   1.05422         
          13.00                     34555                    0.51227                   1.06587         
          13.10                     35506                    0.51410                   1.05004         
          13.20                     32617                    0.51575                   1.08402         
          13.30                     33509                    0.51429                   1.07188         
          13.40                     33474                    0.51625                   1.07052         
          13.50                     34731                    0.51585                   1.05535         
          13.60                     33861                    0.51567                   1.06324         
          13.70                     32135                    0.51515                   1.08623         
          13.80                     32088                    0.51700                   1.08802         
          13.90                     34094                    0.51908                   1.05802         
          14.00                     34392                    0.51721                   1.05328         
          14.10                     34197                    0.51779                   1.05415         
          14.20                     33301                    0.51692                   1.06417         
          14.30                     30714                    0.51869                   1.10165         
          14.40                     36058                    0.51737                   1.02626         
          14.50                     34148                    0.51780                   1.04923         
          14.60                     37386                    0.51659                   1.00763         
          14.70                     32425                    0.51806                   1.06847         
          14.80                     34241                    0.51874                   1.03555         
          14.90                     39494                    0.51751                   0.97131         
          15.00                     36139                    0.51747                   1.00684         
          15.10                     38447                    0.51861                   0.97977         
          15.20                     37998                    0.51783                   0.98118         
          15.30                     34552                    0.51865                   1.01430         
          15.40                     36801                    0.51852                   0.98932         
          15.50                     35606                    0.51979                   1.00696         
          15.60                     37443                    0.51862                   0.98600         
          15.70                     37166                    0.52113                   0.98550         
          15.80                     37141                    0.51789                   0.98806         
          15.90                     35945                    0.52048                   0.99689         
          16.00                     34234                    0.52124                   1.01481         
          16.10                     32451                    0.52187                   1.03507         
          16.20                     34649                    0.52114                   1.00842         
          16.30                     34291                    0.52178                   1.00907         
          16.40                     38052                    0.52126                   0.96845         
          16.50                     38358                    0.52124                   0.96393         
          16.60                     39114                    0.52211                   0.95484         
          16.70                     34476                    0.51993                   0.99891         
          16.80                     37366                    0.52214                   0.96738         
          16.90                     36385                    0.52168                   0.97206         
          17.00                     36780                    0.51824                   0.96533         
          17.10                     39336                    0.51913                   0.94008         
          17.20                     36100                    0.52181                   0.97053         
          17.30                     41148                    0.52417                   0.92269         
          17.40                     39662                    0.52516                   0.93417         
          17.50                     41312                    0.52479                   0.91803         
          17.60                     38663                    0.52363                   0.94105         
          17.70                     41230                    0.52307                   0.91640         
          17.80                     36864                    0.52134                   0.95095         
          17.90                     39754                    0.52441                   0.92770         
          18.00                     39262                    0.52276                   0.92967         
          18.10                     36146                    0.52436                   0.96100         
          18.20                     36275                    0.52467                   0.95965         
          18.30                     38383                    0.52641                   0.93415         
          18.40                     33179                    0.52517                   0.98258         
          18.50                     35816                    0.52859                   0.95507         
          18.60                     38543                    0.52865                   0.92657         
          18.70                     37302                    0.52885                   0.93666         
          18.80                     36869                    0.52971                   0.93789         
          18.90                     35513                    0.52589                   0.94939         
          19.00                     35193                    0.53023                   0.94951         
          19.10                     37839                    0.52877                   0.92561         
          19.20                     35295                    0.53106                   0.95057         
          19.30                     33348                    0.53075                   0.96778         
          19.40                     38966                    0.53106                   0.91688         
          19.50                     33593                    0.52893                   0.97004         
          19.60                     35034                    0.52946                   0.95027         
          19.70                     37068                    0.53189                   0.92995         
          19.80                     27038                    0.53336                   1.04440         
          19.90                     36659                    0.53042                   0.93553         
          20.00                     35429                    0.53036                   0.94264         
          20.10                     35079                    0.53151                   0.94759         
          20.20                     35535                    0.53351                   0.93847         
          20.30                     31139                    0.53253                   0.98075         
          20.40                     32953                    0.53095                   0.96204         
          20.50                     29452                    0.53209                   1.00747         
          20.60                     29550                    0.53153                   1.00618         
          20.70                     36433                    0.53195                   0.93032         
          20.80                     35388                    0.53212                   0.93886         
          20.90                     33060                    0.53238                   0.96451         
          21.00                     32000                    0.53384                   0.97768         
          21.10                     36115                    0.53373                   0.93617         
          21.20                     38007                    0.53231                   0.91810         
          21.30                     36847                    0.53263                   0.92781         
          21.40                     36402                    0.53251                   0.92826         
          21.50                     31978                    0.53261                   0.97498         
          21.60                     30379                    0.53416                   0.99201         
          21.70                     30627                    0.53250                   0.98489         
          21.80                     26826                    0.53327                   1.04471         
          21.90                     29975                    0.53239                   0.99578         
          22.00                     36990                    0.53160                   0.92226         
          22.10                     32290                    0.53080                   0.96372         
          22.20                     28674                    0.53122                   1.00873         
          22.30                     35675                    0.53286                   0.92781         
          22.40                     36473                    0.53506                   0.91736         
          22.50                     32991                    0.53514                   0.95159         
          22.60                     32188                    0.53294                   0.96029         
          22.70                     31905                    0.53481                   0.96232         
          22.80                     31316                    0.53416                   0.96910         
          22.90                     30207                    0.53483                   0.98247         
          23.00                     33949                    0.53335                   0.94060         
          23.10                     32249                    0.53262                   0.95834         
          23.20                     28108                    0.53420                   1.01140         
          23.30                     27560                    0.53285                   1.01664         
          23.40                     35971                    0.53355                   0.92093         
          23.50                     35327                    0.53304                   0.92818         
          23.60                     32186                    0.53360                   0.96521         
          23.70                     40548                    0.53130                   0.89153         
          23.80                     34299                    0.53088                   0.94502         
          23.90                     30768                    0.53054                   0.98190         
          24.00                     31548                    0.53160                   0.97269         
          24.10                     35557                    0.53177                   0.93297         
          24.20                     30694                    0.52763                   0.98646         
          24.30                     29989                    0.53093                   0.99579         
          24.40                     28159                    0.52998                   1.02093         
          24.50                     36267                    0.53038                   0.92384         
          24.60                     38786                    0.52858                   0.90431         
          24.70                     29892                    0.53023                   0.99243         
          24.80                     33145                    0.53123                   0.95327         
          24.90                     36260                    0.53043                   0.92509         
          25.00                     29760                    0.52982                   0.98602         
          25.10                     33436                    0.53198                   0.94730         
          25.20                     31393                    0.53303                   0.96781         
          25.30                     31107                    0.53166                   0.96671         
          25.40                     35893                    0.53492                   0.91902         
          25.50                     35654                    0.53547                   0.91958         
          25.60                     35440                    0.53509                   0.92107         
          25.70                     33840                    0.53351                   0.93656         
          25.80                     35103                    0.53622                   0.92464         
          25.90                     30388                    0.53562                   0.97422         
          26.00                     30938                    0.53281                   0.97233         
          26.10                     33147                    0.53159                   0.94638         
          26.20                     33990                    0.53162                   0.93678         
          26.30                     29588                    0.53280                   0.98194         
          26.40                     33569                    0.53416                   0.93539         
          26.50                     34912                    0.53369                   0.92034         
          26.60                     36617                    0.53277                   0.90476         
          26.70                     35268                    0.53282                   0.91635         
          26.80                     35315                    0.53545                   0.91072         
          26.90                     30303                    0.53553                   0.95925         
          27.00                     27118                    0.53571                   0.99158         
          27.10                     37482                    0.53428                   0.88475         
          27.20                     34950                    0.53543                   0.90616         
          27.30                     27731                    0.53410                   0.97925         
          27.40                     33297                    0.53675                   0.91622         
          27.50                     34033                    0.53659                   0.90828         
          27.60                     33740                    0.53490                   0.90868         
          27.70                     33978                    0.53771                   0.90482         
          27.80                     33926                    0.53612                   0.90756         
          27.90                     36249                    0.53851                   0.88287         
          28.00                     35885                    0.53808                   0.88314         
          28.10                     38591                    0.53768                   0.86083         
          28.20                     32817                    0.53742                   0.90482         
          28.30                     33992                    0.53976                   0.89511         
          28.40                     29301                    0.53891                   0.94008         
          28.50                     25445                    0.53888                   0.98624         
          28.60                     25201                    0.53965                   0.98262         
          28.70                     36398                    0.53921                   0.87164         
          28.80                     31001                    0.53977                   0.91591         
          28.90                     33999                    0.54162                   0.89010         
          29.00                     40212                    0.54027                   0.84294         
          29.10                     33239                    0.54025                   0.89795         
          29.20                     36515                    0.54114                   0.86518         
          29.30                     32715                    0.54224                   0.89340         
          29.40                     34252                    0.54077                   0.88160         
          29.50                     34382                    0.54009                   0.87785         
          29.60                     34846                    0.54155                   0.87224         
          29.70                     36982                    0.54072                   0.85201         
          29.80                     36796                    0.54015                   0.85223         
          29.90                     35075                    0.53828                   0.86235         
          30.00                     30816                    0.54311                   0.90306         
          30.10                     36351                    0.54030                   0.86074         
          30.20                     25871                    0.53899                   0.95644         
          30.30                     38324                    0.53876                   0.84406         
          30.40                     31068                    0.54116                   0.90125         
          30.50                     29330                    0.54043                   0.91458         
          30.60                     33584                    0.54237                   0.87757         
          30.70                     31813                    0.54287                   0.89226         
          30.80                     31542                    0.54072                   0.89242         
          30.90                     34203                    0.54005                   0.86583         
          31.00                     30008                    0.54222                   0.89748         
          31.10                     28326                    0.54180                   0.91303         
          31.20                     31049                    0.54081                   0.88517         
          31.30                     29931                    0.54172                   0.89496         
          31.40                     28480                    0.53941                   0.90205         
          31.50                     35496                    0.54216                   0.84278         
          31.60                     31155                    0.54043                   0.87532         
          31.70                     26193                    0.54243                   0.91333         
          31.80                     33282                    0.54368                   0.85198         
          31.90                     35996                    0.54358                   0.83497         
          32.00                     33163                    0.54489                   0.85211         
          32.10                     37997                    0.54216                   0.81583         
          32.20                     36887                    0.54253                   0.82389         
          32.30                     35689                    0.54548                   0.83232         
          32.40                     36714                    0.54540                   0.81918         
          32.50                     35764                    0.54356                   0.82764         
          32.60                     35354                    0.54573                   0.82606         
          32.70                     44371                    0.54472                   0.77692         
          32.80                     31157                    0.54355                   0.85158         
          32.90                     40798                    0.54572                   0.79571         
          33.00                     27795                    0.54587                   0.87891         
          33.10                     38143                    0.54633                   0.80537         
          33.20                     44406                    0.54707                   0.77453         
          33.30                     33471                    0.54616                   0.83237         
          33.40                     38191                    0.54779                   0.80224         
          33.50                     32480                    0.54796                   0.83264         
          33.60                     36930                    0.54706                   0.80348         
          33.70                     34694                    0.54816                   0.81016         
          33.80                     39614                    0.54701                   0.78540         
          33.90                     34513                    0.54892                   0.81076         
          34.00                     38410                    0.54950                   0.78530         
          34.10                     39890                    0.55016                   0.77463         
          34.20                     41130                    0.54995                   0.76943         
          34.30                     39822                    0.54949                   0.76785         
          34.40                     35119                    0.55084                   0.78677         
          34.50                     34234                    0.54961                   0.78469         
          34.60                     36614                    0.55277                   0.76908         
          34.70                     34816                    0.54951                   0.78059         
          34.80                     32645                    0.55214                   0.78627         
          34.90                     33547                    0.55102                   0.77792         
          35.00                     40739                    0.55187                   0.74291         
          35.10                     40017                    0.55419                   0.74059         
          35.20                     33692                    0.55350                   0.76246         
          35.30                     35024                    0.55654                   0.75384         
          35.40                     51186                    0.55636                   0.70331         
          35.50                     32892                    0.55876                   0.75710         
          35.60                     40922                    0.55552                   0.72353         
          35.70                     30664                    0.55749                   0.76050         
          35.80                     38678                    0.55795                   0.72344         
          35.90                     47230                    0.55696                   0.70203         
          36.00                     45728                    0.55751                   0.70311         
          36.10                     49849                    0.55777                   0.69581         
          36.20                     35087                    0.55705                   0.72898         
          36.30                     39436                    0.55534                   0.71748         
          36.40                     42722                    0.55343                   0.71272         
          36.50                     42342                    0.55290                   0.71147         
          36.60                     36293                    0.55255                   0.72615         
          36.70                     33290                    0.55460                   0.72978         
          36.80                     48942                    0.55629                   0.68966         
          36.90                     48629                    0.55953                   0.68770         
          37.00                     45250                    0.55814                   0.69139         
          37.10                     53665                    0.55693                   0.67796         
          37.20                     40835                    0.55607                   0.69655         
          37.30                     45906                    0.55906                   0.68656         
          37.40                     42266                    0.55729                   0.68944         
          37.50                     48833                    0.55986                   0.67655         
          37.60                     48691                    0.55872                   0.67023         
          37.70                     50370                    0.56038                   0.67079         
          37.80                     45360                    0.56269                   0.67336         
          37.90                     28382                    0.56267                   0.67828         
          38.00                     51736                    0.56252                   0.66120         
          38.10                     53185                    0.56339                   0.65608         
          38.20                     46028                    0.56750                   0.65524         
          38.30                     49283                    0.56645                   0.65535         
          38.40                     49559                    0.56286                   0.65317         
          38.50                     42654                    0.56461                   0.66103         
          38.60                     41469                    0.55965                   0.65549         
          38.70                     49859                    0.55795                   0.65403         
          38.80                     49189                    0.55660                   0.65882         
          38.90                     54807                    0.56096                   0.65168         
          39.00                     45903                    0.56224                   0.65364         
          39.10                     48377                    0.56394                   0.65457         
          39.20                     50967                    0.56299                   0.64891         
          39.30                     50940                    0.56080                   0.64960         
          39.40                     46152                    0.56258                   0.65076         
          39.50                     56256                    0.56248                   0.64345         
          39.60                     55025                    0.56414                   0.64458         
          39.70                     54104                    0.56267                   0.64486         
          39.80                     52633                    0.56071                   0.64891         
          39.90                     52339                    0.56290                   0.64722         
          40.00                     56302                    0.56233                   0.64364         
          40.10                     52311                    0.56329                   0.64595         
          40.20                     35493                    0.56285                   0.64744         
          40.30                     54372                    0.56355                   0.64438         
          40.40                     52755                    0.56486                   0.64096         
          40.50                     51535                    0.56559                   0.64173         
          40.60                     53828                    0.56753                   0.63875         
          40.70                     54611                    0.56479                   0.64002         
          40.80                     31869                    0.56562                   0.63787         
          40.90                     27378                    0.56496                   0.63108         
          41.00                     58015                    0.56632                   0.63493         
          41.10                     41506                    0.56770                   0.63681         
          41.20                     22369                    0.56686                   0.64241         
          41.30                     27990                    0.57087                   0.64463         
          41.40                     61631                    0.56657                   0.63654         
          41.50                     28609                    0.56872                   0.63627         
          41.60                     57162                    0.56954                   0.62956         
          41.70                     45939                    0.56934                   0.63713         
          41.80                     56758                    0.56896                   0.63056         
          41.90                     58497                    0.56993                   0.63450         
          42.00                     37103                    0.57131                   0.63831         
          42.10                     44499                    0.57145                   0.63909         
          42.20                     50901                    0.57219                   0.63494         
          42.30                     42403                    0.57269                   0.63533         
          42.40                     27324                    0.57176                   0.63029         
          42.50                     26248                    0.56834                   0.63993         
          42.60                     28555                    0.56870                   0.64196         
          42.70                     40368                    0.56963                   0.63856         
          42.80                     37235                    0.56816                   0.64138         
          42.90                     64876                    0.57018                   0.62681         
          43.00                     40740                    0.57298                   0.63282         
          43.10                     48564                    0.57158                   0.63491         
          43.20                     31583                    0.57138                   0.62782         
          43.30                     58615                    0.57032                   0.63258         
          43.40                     48087                    0.57106                   0.63091         
          43.50                     26607                    0.57043                   0.63653         
          43.60                     26941                    0.57487                   0.62964         
          43.70                     54015                    0.57492                   0.62879         
          43.80                     39221                    0.57337                   0.63050         
          43.90                     57782                    0.57321                   0.62784         
          44.00                     19726                    0.57417                   0.63114         
          44.10                     43683                    0.57380                   0.63053         
          44.20                     24834                    0.57413                   0.63006         
          44.30                     21411                    0.57302                   0.63359         
          44.40                     25962                    0.57178                   0.63420         
          44.50                     52548                    0.57249                   0.63258         
          44.60                     48239                    0.57314                   0.63351         
          44.70                     39865                    0.57395                   0.63747         
          44.80                     37278                    0.57484                   0.62975         
          44.90                     30653                    0.57340                   0.63559         
          45.00                     43063                    0.57376                   0.63836         
          45.10                     29565                    0.57121                   0.62787         
          45.20                     33959                    0.57392                   0.63732         
          45.30                     36496                    0.57140                   0.62880         
          45.40                     51789                    0.57428                   0.63443         
          45.50                     19942                    0.57399                   0.63304         
          45.60                     31471                    0.57538                   0.62292         
          45.70                     44725                    0.57421                   0.63252         
          45.80                     21412                    0.57437                   0.63629         
          45.90                     49282                    0.57171                   0.63415         
          46.00                     52249                    0.57265                   0.63123         
          46.10                     23115                    0.57591                   0.63334         
          46.20                     48978                    0.57436                   0.63143         
          46.30                     23455                    0.57802                   0.63379         
          46.40                     25521                    0.57375                   0.63569         
          46.50                     44841                    0.57687                   0.62844         
          46.60                     56759                    0.57574                   0.62500         
          46.70                     36952                    0.57715                   0.63503         
          46.80                     45155                    0.57678                   0.62785         
          46.90                     61828                    0.57781                   0.62394         
          47.00                     36053                    0.57717                   0.62345         
          47.10                     40250                    0.57565                   0.62853         
          47.20                     42813                    0.57908                   0.62643         
          47.30                     33763                    0.57931                   0.62851         
          47.40                     42803                    0.57632                   0.62229         
          47.50                     31782                    0.57679                   0.63118         
          47.60                     48867                    0.57691                   0.62602         
          47.70                     39235                    0.57760                   0.63090         
          47.80                     55319                    0.57514                   0.62777         
          47.90                     21316                    0.57532                   0.63176         
          48.00                     26552                    0.57732                   0.62884         
          48.10                     47628                    0.57744                   0.62640         
          48.20                     48316                    0.57513                   0.63064         
          48.30                     33451                    0.57659                   0.63245         
          48.40                     36235                    0.57681                   0.63092         
          48.50                     34354                    0.57563                   0.62465         
          48.60                     19322                    0.57484                   0.62918         
          48.70                     28699                    0.57733                   0.62512         
          48.80                     35291                    0.57752                   0.63266         
          48.90                     21541                    0.57702                   0.62628         
          49.00                     46184                    0.57733                   0.62982         
          49.10                     27084                    0.57678                   0.62811         
          49.20                     44227                    0.57724                   0.62882         
          49.30                     40797                    0.57566                   0.62594         
          49.40                     34907                    0.57684                   0.62456         
          49.50                     53448                    0.57616                   0.62601         
          49.60                     33530                    0.57741                   0.61968         
          49.70                     27908                    0.57760                   0.63367         
          49.80                     45682                    0.57661                   0.62847         
          49.90                     60234                    0.57574                   0.62633         
