             tauB                            r                             g(r)             
           100.000                         0.103                          0.000             
           100.000                         0.108                          0.000             
           100.000                         0.113                          0.000             
           100.000                         0.118                          0.000             
           100.000                         0.124                          0.000             
           100.000                         0.129                          0.000             
           100.000                         0.134                          0.000             
           100.000                         0.139                          0.000             
           100.000                         0.145                          0.000             
           100.000                         0.150                          0.000             
           100.000                         0.155                          0.000             
           100.000                         0.160                          0.000             
           100.000                         0.166                          0.000             
           100.000                         0.171                          0.000             
           100.000                         0.176                          0.000             
           100.000                         0.181                          0.000             
           100.000                         0.186                          0.000             
           100.000                         0.192                          0.000             
           100.000                         0.197                          0.000             
           100.000                         0.202                          0.000             
           100.000                         0.207                          0.000             
           100.000                         0.213                          0.000             
           100.000                         0.218                          0.000             
           100.000                         0.223                          0.000             
           100.000                         0.228                          0.000             
           100.000                         0.234                          0.000             
           100.000                         0.239                          0.000             
           100.000                         0.244                          0.000             
           100.000                         0.249                          0.000             
           100.000                         0.255                          0.000             
           100.000                         0.260                          0.000             
           100.000                         0.265                          0.000             
           100.000                         0.270                          0.000             
           100.000                         0.276                          0.000             
           100.000                         0.281                          0.000             
           100.000                         0.286                          0.000             
           100.000                         0.291                          0.000             
           100.000                         0.297                          0.000             
           100.000                         0.302                          0.000             
           100.000                         0.307                          0.000             
           100.000                         0.312                          0.000             
           100.000                         0.317                          0.000             
           100.000                         0.323                          0.000             
           100.000                         0.328                          0.000             
           100.000                         0.333                          0.000             
           100.000                         0.338                          0.000             
           100.000                         0.344                          0.000             
           100.000                         0.349                          0.000             
           100.000                         0.354                          0.000             
           100.000                         0.359                          0.000             
           100.000                         0.365                          0.000             
           100.000                         0.370                          0.000             
           100.000                         0.375                          0.000             
           100.000                         0.380                          0.000             
           100.000                         0.386                          0.000             
           100.000                         0.391                          0.000             
           100.000                         0.396                          0.000             
           100.000                         0.401                          0.002             
           100.000                         0.407                          0.004             
           100.000                         0.412                          0.038             
           100.000                         0.417                          0.130             
           100.000                         0.422                          0.328             
           100.000                         0.428                          0.722             
           100.000                         0.433                          1.221             
           100.000                         0.438                          1.769             
           100.000                         0.443                          2.277             
           100.000                         0.449                          2.765             
           100.000                         0.454                          3.000             
           100.000                         0.459                          3.134             
           100.000                         0.464                          3.110             
           100.000                         0.469                          3.031             
           100.000                         0.475                          2.895             
           100.000                         0.480                          2.727             
           100.000                         0.485                          2.606             
           100.000                         0.490                          2.463             
           100.000                         0.496                          2.314             
           100.000                         0.501                          2.269             
           100.000                         0.506                          2.054             
           100.000                         0.511                          2.000             
           100.000                         0.517                          2.000             
           100.000                         0.522                          1.970             
           100.000                         0.527                          1.714             
           100.000                         0.532                          1.777             
           100.000                         0.538                          1.722             
           100.000                         0.543                          1.717             
           100.000                         0.548                          1.533             
           100.000                         0.553                          1.581             
           100.000                         0.559                          1.463             
           100.000                         0.564                          1.398             
           100.000                         0.569                          1.327             
           100.000                         0.574                          1.373             
           100.000                         0.580                          1.419             
           100.000                         0.585                          1.284             
           100.000                         0.590                          1.308             
           100.000                         0.595                          1.231             
           100.000                         0.601                          1.261             
           100.000                         0.606                          1.317             
           100.000                         0.611                          1.240             
           100.000                         0.616                          1.116             
           100.000                         0.621                          1.216             
           100.000                         0.627                          1.202             
           100.000                         0.632                          1.153             
           100.000                         0.637                          1.104             
           100.000                         0.642                          1.068             
           100.000                         0.648                          1.165             
           100.000                         0.653                          1.069             
           100.000                         0.658                          1.165             
           100.000                         0.663                          1.026             
           100.000                         0.669                          1.143             
           100.000                         0.674                          1.103             
           100.000                         0.679                          1.151             
           100.000                         0.684                          1.052             
           100.000                         0.690                          1.099             
           100.000                         0.695                          1.068             
           100.000                         0.700                          1.043             
           100.000                         0.705                          1.030             
           100.000                         0.711                          1.052             
           100.000                         0.716                          1.079             
           100.000                         0.721                          1.009             
           100.000                         0.726                          1.050             
           100.000                         0.732                          1.023             
           100.000                         0.737                          1.019             
           100.000                         0.742                          1.015             
           100.000                         0.747                          1.106             
           100.000                         0.752                          0.953             
           100.000                         0.758                          1.053             
           100.000                         0.763                          1.013             
           100.000                         0.768                          1.051             
           100.000                         0.773                          1.027             
           100.000                         0.779                          1.080             
           100.000                         0.784                          0.978             
           100.000                         0.789                          1.034             
           100.000                         0.794                          0.982             
           100.000                         0.800                          1.061             
           100.000                         0.805                          1.023             
           100.000                         0.810                          1.050             
           100.000                         0.815                          1.019             
           100.000                         0.821                          0.972             
           100.000                         0.826                          1.029             
           100.000                         0.831                          1.011             
           100.000                         0.836                          1.027             
           100.000                         0.842                          1.027             
           100.000                         0.847                          1.023             
           100.000                         0.852                          1.048             
           100.000                         0.857                          1.072             
           100.000                         0.863                          1.087             
           100.000                         0.868                          1.039             
           100.000                         0.873                          1.107             
           100.000                         0.878                          1.075             
           100.000                         0.884                          1.063             
           100.000                         0.889                          1.069             
           100.000                         0.894                          1.139             
           100.000                         0.899                          1.107             
           100.000                         0.904                          1.140             
           100.000                         0.910                          1.105             
           100.000                         0.915                          1.144             
           100.000                         0.920                          1.152             
           100.000                         0.925                          1.087             
           100.000                         0.931                          1.081             
           100.000                         0.936                          1.071             
           100.000                         0.941                          1.116             
           100.000                         0.946                          1.051             
           100.000                         0.952                          1.097             
           100.000                         0.957                          1.077             
           100.000                         0.962                          1.057             
           100.000                         0.967                          1.087             
           100.000                         0.973                          1.079             
           100.000                         0.978                          1.086             
           100.000                         0.983                          1.068             
           100.000                         0.988                          0.992             
           100.000                         0.994                          1.102             
           100.000                         0.999                          1.009             
           100.000                         1.004                          1.036             
           100.000                         1.009                          1.060             
           100.000                         1.015                          1.058             
           100.000                         1.020                          1.062             
           100.000                         1.025                          1.089             
           100.000                         1.030                          1.047             
           100.000                         1.035                          0.994             
           100.000                         1.041                          1.033             
           100.000                         1.046                          1.079             
           100.000                         1.051                          1.083             
           100.000                         1.056                          1.025             
           100.000                         1.062                          1.063             
           100.000                         1.067                          1.095             
           100.000                         1.072                          1.008             
           100.000                         1.077                          1.075             
           100.000                         1.083                          1.069             
           100.000                         1.088                          1.048             
           100.000                         1.093                          1.062             
           100.000                         1.098                          1.050             
           100.000                         1.104                          1.092             
           100.000                         1.109                          1.050             
           100.000                         1.114                          1.070             
           100.000                         1.119                          1.024             
           100.000                         1.125                          1.035             
           100.000                         1.130                          0.991             
           100.000                         1.135                          1.043             
           100.000                         1.140                          1.044             
           100.000                         1.146                          1.092             
           100.000                         1.151                          1.020             
           100.000                         1.156                          1.037             
           100.000                         1.161                          0.993             
           100.000                         1.167                          1.023             
           100.000                         1.172                          1.105             
           100.000                         1.177                          1.034             
           100.000                         1.182                          0.994             
           100.000                         1.187                          1.070             
           100.000                         1.193                          1.004             
           100.000                         1.198                          1.044             
           100.000                         1.203                          1.048             
           100.000                         1.208                          1.053             
           100.000                         1.214                          1.016             
           100.000                         1.219                          1.055             
           100.000                         1.224                          1.007             
           100.000                         1.229                          1.030             
           100.000                         1.235                          1.051             
           100.000                         1.240                          1.043             
           100.000                         1.245                          1.012             
           100.000                         1.250                          0.966             
           100.000                         1.256                          1.048             
           100.000                         1.261                          1.030             
           100.000                         1.266                          1.015             
           100.000                         1.271                          1.060             
           100.000                         1.277                          1.008             
           100.000                         1.282                          0.995             
           100.000                         1.287                          1.031             
           100.000                         1.292                          0.978             
           100.000                         1.298                          1.021             
           100.000                         1.303                          1.018             
           100.000                         1.308                          1.023             
           100.000                         1.313                          1.054             
           100.000                         1.319                          1.015             
           100.000                         1.324                          1.034             
           100.000                         1.329                          1.020             
           100.000                         1.334                          0.987             
           100.000                         1.339                          1.001             
           100.000                         1.345                          1.031             
           100.000                         1.350                          1.041             
           100.000                         1.355                          0.984             
           100.000                         1.360                          1.020             
           100.000                         1.366                          1.054             
           100.000                         1.371                          0.986             
           100.000                         1.376                          1.041             
           100.000                         1.381                          1.028             
           100.000                         1.387                          1.022             
           100.000                         1.392                          0.995             
           100.000                         1.397                          1.018             
           100.000                         1.402                          1.017             
           100.000                         1.408                          1.068             
           100.000                         1.413                          1.006             
           100.000                         1.418                          0.995             
           100.000                         1.423                          0.992             
           100.000                         1.429                          1.030             
           100.000                         1.434                          1.030             
           100.000                         1.439                          1.018             
           100.000                         1.444                          1.025             
           100.000                         1.450                          1.032             
           100.000                         1.455                          1.011             
           100.000                         1.460                          1.038             
           100.000                         1.465                          0.999             
           100.000                         1.470                          0.984             
           100.000                         1.476                          1.028             
           100.000                         1.481                          1.047             
           100.000                         1.486                          1.027             
           100.000                         1.491                          0.994             
           100.000                         1.497                          0.989             
           100.000                         1.502                          1.028             
           100.000                         1.507                          0.935             
           100.000                         1.512                          1.039             
           100.000                         1.518                          0.989             
           100.000                         1.523                          1.015             
           100.000                         1.528                          0.992             
           100.000                         1.533                          1.041             
           100.000                         1.539                          0.991             
           100.000                         1.544                          1.011             
