             tauB                            r                             g(r)             
           100.000                         0.103                          0.000             
           100.000                         0.108                          0.000             
           100.000                         0.113                          0.000             
           100.000                         0.118                          0.000             
           100.000                         0.124                          0.000             
           100.000                         0.129                          0.000             
           100.000                         0.134                          0.000             
           100.000                         0.139                          0.000             
           100.000                         0.145                          0.000             
           100.000                         0.150                          0.000             
           100.000                         0.155                          0.000             
           100.000                         0.160                          0.000             
           100.000                         0.166                          0.000             
           100.000                         0.171                          0.000             
           100.000                         0.176                          0.000             
           100.000                         0.181                          0.000             
           100.000                         0.186                          0.000             
           100.000                         0.192                          0.000             
           100.000                         0.197                          0.000             
           100.000                         0.202                          0.000             
           100.000                         0.207                          0.000             
           100.000                         0.213                          0.000             
           100.000                         0.218                          0.000             
           100.000                         0.223                          0.000             
           100.000                         0.228                          0.000             
           100.000                         0.234                          0.000             
           100.000                         0.239                          0.000             
           100.000                         0.244                          0.000             
           100.000                         0.249                          0.000             
           100.000                         0.255                          0.000             
           100.000                         0.260                          0.000             
           100.000                         0.265                          0.000             
           100.000                         0.270                          0.000             
           100.000                         0.276                          0.000             
           100.000                         0.281                          0.000             
           100.000                         0.286                          0.000             
           100.000                         0.291                          0.000             
           100.000                         0.297                          0.000             
           100.000                         0.302                          0.000             
           100.000                         0.307                          0.000             
           100.000                         0.312                          0.000             
           100.000                         0.317                          0.000             
           100.000                         0.323                          0.000             
           100.000                         0.328                          0.000             
           100.000                         0.333                          0.000             
           100.000                         0.338                          0.000             
           100.000                         0.344                          0.000             
           100.000                         0.349                          0.000             
           100.000                         0.354                          0.000             
           100.000                         0.359                          0.000             
           100.000                         0.365                          0.000             
           100.000                         0.370                          0.000             
           100.000                         0.375                          0.000             
           100.000                         0.380                          0.000             
           100.000                         0.386                          0.000             
           100.000                         0.391                          0.000             
           100.000                         0.396                          0.000             
           100.000                         0.401                          0.000             
           100.000                         0.407                          0.028             
           100.000                         0.412                          0.168             
           100.000                         0.417                          0.385             
           100.000                         0.422                          0.667             
           100.000                         0.428                          1.471             
           100.000                         0.433                          1.990             
           100.000                         0.438                          2.525             
           100.000                         0.443                          2.843             
           100.000                         0.449                          2.927             
           100.000                         0.454                          2.980             
           100.000                         0.459                          3.260             
           100.000                         0.464                          2.869             
           100.000                         0.469                          2.867             
           100.000                         0.475                          2.766             
           100.000                         0.480                          2.630             
           100.000                         0.485                          2.472             
           100.000                         0.490                          2.308             
           100.000                         0.496                          2.151             
           100.000                         0.501                          2.086             
           100.000                         0.506                          2.056             
           100.000                         0.511                          1.871             
           100.000                         0.517                          1.832             
           100.000                         0.522                          1.811             
           100.000                         0.527                          1.754             
           100.000                         0.532                          1.694             
           100.000                         0.538                          1.632             
           100.000                         0.543                          1.516             
           100.000                         0.548                          1.437             
           100.000                         0.553                          1.398             
           100.000                         0.559                          1.429             
           100.000                         0.564                          1.376             
           100.000                         0.569                          1.337             
           100.000                         0.574                          1.321             
           100.000                         0.580                          1.377             
           100.000                         0.585                          1.388             
           100.000                         0.590                          1.262             
           100.000                         0.595                          1.292             
           100.000                         0.601                          1.194             
           100.000                         0.606                          1.246             
           100.000                         0.611                          1.177             
           100.000                         0.616                          1.255             
           100.000                         0.621                          1.184             
           100.000                         0.627                          1.187             
           100.000                         0.632                          1.210             
           100.000                         0.637                          1.179             
           100.000                         0.642                          1.167             
           100.000                         0.648                          1.188             
           100.000                         0.653                          1.125             
           100.000                         0.658                          1.131             
           100.000                         0.663                          1.135             
           100.000                         0.669                          1.048             
           100.000                         0.674                          1.086             
           100.000                         0.679                          1.089             
           100.000                         0.684                          1.065             
           100.000                         0.690                          1.045             
           100.000                         0.695                          1.019             
           100.000                         0.700                          1.043             
           100.000                         0.705                          1.062             
           100.000                         0.711                          1.084             
           100.000                         0.716                          1.049             
           100.000                         0.721                          1.003             
           100.000                         0.726                          0.957             
           100.000                         0.732                          0.970             
           100.000                         0.737                          0.987             
           100.000                         0.742                          1.029             
           100.000                         0.747                          1.078             
           100.000                         0.752                          1.058             
           100.000                         0.758                          1.042             
           100.000                         0.763                          1.018             
           100.000                         0.768                          1.068             
           100.000                         0.773                          0.922             
           100.000                         0.779                          0.981             
           100.000                         0.784                          1.043             
           100.000                         0.789                          1.037             
           100.000                         0.794                          1.021             
           100.000                         0.800                          1.113             
           100.000                         0.805                          1.004             
           100.000                         0.810                          1.081             
           100.000                         0.815                          1.055             
           100.000                         0.821                          1.057             
           100.000                         0.826                          1.059             
           100.000                         0.831                          1.071             
           100.000                         0.836                          1.101             
           100.000                         0.842                          1.001             
           100.000                         0.847                          1.067             
           100.000                         0.852                          1.060             
           100.000                         0.857                          1.088             
           100.000                         0.863                          1.120             
           100.000                         0.868                          1.100             
           100.000                         0.873                          1.068             
           100.000                         0.878                          1.084             
           100.000                         0.884                          1.179             
           100.000                         0.889                          1.031             
           100.000                         0.894                          1.071             
           100.000                         0.899                          1.064             
           100.000                         0.904                          1.122             
           100.000                         0.910                          1.102             
           100.000                         0.915                          1.172             
           100.000                         0.920                          1.073             
           100.000                         0.925                          1.109             
           100.000                         0.931                          1.064             
           100.000                         0.936                          1.047             
           100.000                         0.941                          1.104             
           100.000                         0.946                          1.135             
           100.000                         0.952                          1.042             
           100.000                         0.957                          1.026             
           100.000                         0.962                          1.061             
           100.000                         0.967                          1.060             
           100.000                         0.973                          1.049             
           100.000                         0.978                          1.040             
           100.000                         0.983                          1.085             
           100.000                         0.988                          1.021             
           100.000                         0.994                          1.052             
           100.000                         0.999                          1.063             
           100.000                         1.004                          1.063             
           100.000                         1.009                          1.029             
           100.000                         1.015                          1.082             
           100.000                         1.020                          1.097             
           100.000                         1.025                          0.994             
           100.000                         1.030                          1.102             
           100.000                         1.035                          1.059             
           100.000                         1.041                          1.036             
           100.000                         1.046                          1.041             
           100.000                         1.051                          1.108             
           100.000                         1.056                          1.066             
           100.000                         1.062                          1.041             
           100.000                         1.067                          1.087             
           100.000                         1.072                          1.054             
           100.000                         1.077                          1.033             
           100.000                         1.083                          1.007             
           100.000                         1.088                          1.051             
           100.000                         1.093                          1.060             
           100.000                         1.098                          1.042             
           100.000                         1.104                          1.042             
           100.000                         1.109                          1.081             
           100.000                         1.114                          1.046             
           100.000                         1.119                          1.064             
           100.000                         1.125                          1.004             
           100.000                         1.130                          1.042             
           100.000                         1.135                          1.050             
           100.000                         1.140                          1.064             
           100.000                         1.146                          1.050             
           100.000                         1.151                          1.062             
           100.000                         1.156                          1.027             
           100.000                         1.161                          1.025             
           100.000                         1.167                          1.031             
           100.000                         1.172                          1.044             
           100.000                         1.177                          1.012             
           100.000                         1.182                          1.034             
           100.000                         1.187                          1.077             
           100.000                         1.193                          1.021             
           100.000                         1.198                          1.014             
           100.000                         1.203                          1.029             
           100.000                         1.208                          1.012             
           100.000                         1.214                          0.987             
           100.000                         1.219                          1.034             
           100.000                         1.224                          1.021             
           100.000                         1.229                          1.074             
           100.000                         1.235                          0.970             
           100.000                         1.240                          1.024             
           100.000                         1.245                          1.034             
           100.000                         1.250                          1.054             
           100.000                         1.256                          1.026             
           100.000                         1.261                          1.067             
           100.000                         1.266                          1.008             
           100.000                         1.271                          1.023             
           100.000                         1.277                          1.035             
           100.000                         1.282                          1.054             
           100.000                         1.287                          1.043             
           100.000                         1.292                          1.073             
           100.000                         1.298                          1.047             
           100.000                         1.303                          1.063             
           100.000                         1.308                          1.037             
           100.000                         1.313                          0.994             
           100.000                         1.319                          1.067             
           100.000                         1.324                          1.048             
           100.000                         1.329                          0.986             
           100.000                         1.334                          1.036             
           100.000                         1.339                          1.031             
           100.000                         1.345                          0.990             
           100.000                         1.350                          1.034             
           100.000                         1.355                          1.042             
           100.000                         1.360                          1.021             
           100.000                         1.366                          1.041             
           100.000                         1.371                          0.998             
           100.000                         1.376                          1.004             
           100.000                         1.381                          1.029             
           100.000                         1.387                          0.979             
           100.000                         1.392                          1.045             
           100.000                         1.397                          1.006             
           100.000                         1.402                          1.014             
           100.000                         1.408                          1.026             
           100.000                         1.413                          1.018             
           100.000                         1.418                          0.991             
           100.000                         1.423                          1.025             
           100.000                         1.429                          0.996             
           100.000                         1.434                          0.991             
           100.000                         1.439                          1.011             
           100.000                         1.444                          1.068             
           100.000                         1.450                          1.039             
           100.000                         1.455                          1.050             
           100.000                         1.460                          1.017             
           100.000                         1.465                          1.018             
           100.000                         1.470                          1.028             
           100.000                         1.476                          1.006             
           100.000                         1.481                          1.006             
           100.000                         1.486                          1.065             
           100.000                         1.491                          1.034             
           100.000                         1.497                          1.023             
           100.000                         1.502                          1.020             
           100.000                         1.507                          1.011             
           100.000                         1.512                          1.043             
           100.000                         1.518                          1.033             
           100.000                         1.523                          1.010             
           100.000                         1.528                          1.047             
           100.000                         1.533                          1.029             
           100.000                         1.539                          0.980             
           100.000                         1.544                          1.041             
