 Timestep  Gas-r=1.0  Liq-r=1.0  Gas-r=1.5  Liq-r=1.5  Gas-r=2.0  Liq-r=2.0  Gas-r=2.5  Liq-r=2.5  Gas-r=3.0  Liq-r=3.0  Gas-r=3.5  Liq-r=3.5  Gas-r=4.0  Liq-r=4.0  Gas-r=4.5  Liq-r=4.5  Gas-r=5.0  Liq-r=5.0 
   2.0       0.2500     1.7500     0.3300     1.4400     0.3750     0.5000     0.3950     1.4800     0.3850     1.5250     0.3650     0.4650     0.3550     0.4650     0.3550     1.4800     0.3300     1.4200  
   4.0       0.2500     1.7500     0.3300     1.4400     0.3750     0.5000     0.3600     1.4800     0.3600     1.5250     0.3650     1.5900     0.3550     1.5000     0.3450     1.4800     0.3300     1.4300  
   6.0       0.2500     1.7500     0.3300     1.4400     0.3750     1.1850     0.3600     1.4800     0.3300     1.5250     0.3450     1.5900     0.3400     1.5000     0.3300     1.4800     0.3200     1.4300  
   8.0       0.2500     1.7500     0.3300     1.4400     0.3750     1.1850     0.3600     1.4800     0.3300     1.5250     0.3250     1.5900     0.3250     1.4800     0.3050     1.4800     0.3000     1.4300  
   10.0      0.2500     1.7500     0.3300     1.4400     0.3100     1.1850     0.3200     1.4800     0.3300     1.5250     0.3250     1.5700     0.3100     1.4800     0.3050     1.4800     0.2750     1.4200  
   12.0      0.2500     1.7500     0.3300     1.4400     0.3100     1.1850     0.3200     1.4800     0.3050     1.5250     0.2850     1.5700     0.2950     1.4800     0.2800     1.4800     0.2650     1.4200  
   14.0      0.2500     1.7500     0.3300     1.4400     0.3100     1.1850     0.2750     1.4800     0.2750     1.5250     0.2650     1.5300     0.2800     1.4650     0.2700     1.4800     0.2500     1.4200  
   16.0      0.2500     1.7500     0.3300     1.4400     0.3100     1.1850     0.2750     1.4800     0.2500     1.5250     0.2650     1.5300     0.2650     1.4500     0.2550     1.4800     0.2400     1.3950  
   18.0      0.2500     1.7500     0.3300     1.4400     0.2500     1.1850     0.2750     1.4800     0.2500     1.5250     0.2400     1.5300     0.2500     1.4500     0.2300     1.4800     0.2250     1.3850  
   20.0      0.2500     1.7500     0.3300     1.4400     0.2500     1.1850     0.2400     1.4800     0.2500     1.5250     0.2200     1.5300     0.2300     1.4500     0.2200     1.4800     0.2100     1.3850  
