 Timestep  Gas-r=1.0  Liq-r=1.0  Gas-r=1.5  Liq-r=1.5  Gas-r=2.0  Liq-r=2.0  Gas-r=2.5  Liq-r=2.5  Gas-r=3.0  Liq-r=3.0  Gas-r=3.5  Liq-r=3.5  Gas-r=4.0  Liq-r=4.0  Gas-r=4.5  Liq-r=4.5  Gas-r=5.0  Liq-r=5.0 
   10.0      0.2500     0.5000     0.3300     0.5550     0.3750     0.5000     0.3950     0.4800     0.3850     0.4700     0.3850     0.4850     0.3900     0.4650     0.4150     0.4550     0.4200     0.4550  
   20.0      0.2500     0.5000     0.3300     0.5550     0.3750     0.5000     0.3950     0.4800     0.3850     0.4700     0.3850     0.4850     0.3900     0.4650     0.4400     0.4550     0.4200     0.4550  
   30.0      0.2500     0.5000     0.3300     0.5550     0.3750     0.5000     0.3950     0.4800     0.3850     0.4700     0.3850     0.4650     0.3900     0.4800     0.4400     0.4550     0.4300     0.4550  
   40.0      0.2500     0.5000     0.3300     0.5550     0.3750     0.5000     0.3950     0.4800     0.3850     0.4700     0.3850     0.4650     0.3900     0.4650     0.4150     0.4550     0.4050     0.4550  
   50.0      0.2500     0.5000     0.3300     0.5550     0.3750     0.5000     0.3950     0.4800     0.3850     0.4700     0.3850     0.4650     0.3900     0.4650     0.4400     0.4550     0.4300     0.4550  
   60.0      0.2500     0.5000     0.3300     0.5550     0.3750     0.5000     0.3950     0.4800     0.3850     0.4700     0.3850     0.4650     0.3900     0.4650     0.4400     0.4550     0.3950     0.4550  
   70.0      0.2500     0.5000     0.3300     0.5550     0.3750     0.5000     0.3950     0.4800     0.3850     0.4700     0.3850     0.4650     0.3900     0.4650     0.4400     0.4550     0.3950     0.4550  
   80.0      0.2500     0.5000     0.3300     0.5550     0.3750     1.1850     0.3950     0.4800     0.3850     0.4700     0.4050     0.4650     0.4050     0.4650     0.3700     0.4550     0.3450     0.4550  
   90.0      0.2500     1.7500     0.3300     0.5550     0.3100     1.1850     0.3200     1.2400     0.3300     1.1650     0.3050     1.2200     0.3250     1.2950     0.3200     1.1950     0.2750     1.1150  
   99.9      0.2500     1.7500     0.3300     1.2200     0.3100     1.1850     0.2750     1.2400     0.2500     1.1650     0.2650     1.2200     0.2650     1.2800     0.2550     1.1950     0.2250     1.1150  
