 Timestep  Gas-r=1.0  Liq-r=1.0  Gas-r=1.5  Liq-r=1.5  Gas-r=2.0  Liq-r=2.0  Gas-r=2.5  Liq-r=2.5  Gas-r=3.0  Liq-r=3.0  Gas-r=3.5  Liq-r=3.5  Gas-r=4.0  Liq-r=4.0  Gas-r=4.5  Liq-r=4.5  Gas-r=5.0  Liq-r=5.0 
   10.0      0.2500     0.7500     0.3300     0.5550     0.3750     0.5600     0.3950     0.5200     0.3850     0.5250     0.3850     0.5100     0.3900     0.5150     0.4900     0.5050     0.4500     0.5100  
   20.0      0.2500     0.7500     0.3300     0.5550     0.3750     0.5600     0.3950     0.5200     0.3850     0.5250     0.3850     0.5100     0.3900     0.5150     0.4900     0.5050     0.4350     0.5100  
   30.0      0.2500     0.7500     0.3300     0.5550     0.3750     0.5600     0.3950     0.5200     0.3850     0.5250     0.3850     0.5100     0.3900     0.5150     0.4800     0.5050     0.4500     0.5100  
   40.0      0.2500     0.7500     0.3300     0.5550     0.3750     0.5600     0.3950     0.5550     0.3850     0.5250     0.3850     0.5100     0.3900     0.5150     0.4800     0.5050     0.4550     0.5100  
   50.0      0.2500     0.7500     0.3300     0.5550     0.3750     0.5600     0.3950     0.5200     0.3850     0.5250     0.3850     0.5100     0.3900     0.5150     0.4800     0.5050     0.4500     0.5100  
   60.0      0.2500     0.7500     0.3300     0.5550     0.3750     0.5600     0.3950     0.5200     0.3850     0.5250     0.3850     0.5100     0.3900     0.5150     0.4800     0.5050     0.4350     0.5100  
   70.0      0.2500     0.7500     0.3300     0.5550     0.3750     0.5600     0.3950     0.5200     0.3850     0.5250     0.3850     0.5100     0.3900     0.5300     0.4800     0.5150     0.4700     0.5100  
   80.0      0.2500     0.7500     0.3300     0.5550     0.3750     0.5600     0.3950     0.5200     0.3850     0.5250     0.3850     0.5100     0.3900     0.5150     0.4900     0.5050     0.4550     0.5100  
   90.0      0.2500     0.7500     0.3300     0.5550     0.3750     0.5600     0.3950     0.5550     0.3850     0.5250     0.3850     0.5100     0.3900     0.5150     0.4800     0.5050     0.4700     0.5100  
   99.9      0.2500     0.7500     0.3300     0.5550     0.3750     0.5600     0.3950     0.5200     0.3850     0.5250     0.3850     0.5100     0.3900     0.5150     0.4900     0.5050     0.4350     0.5100  
