 Timestep  Gas-r=1.0  Liq-r=1.0  Gas-r=1.5  Liq-r=1.5  Gas-r=2.0  Liq-r=2.0  Gas-r=2.5  Liq-r=2.5  Gas-r=3.0  Liq-r=3.0  Gas-r=3.5  Liq-r=3.5  Gas-r=4.0  Liq-r=4.0  Gas-r=4.5  Liq-r=4.5  Gas-r=5.0  Liq-r=5.0 
   10.0      0.2500     1.7500     0.1100     1.8850     0.1250     1.9350     0.1200     1.4800     0.1100     1.6350     0.1000     1.7300     0.0900     1.7000     0.0950     1.6000     0.0900     1.5050  
   20.0      0.2500     1.7500     0.1100     1.8850     0.1250     1.9350     0.1200     1.4800     0.1100     1.6350     0.1200     1.7300     0.1050     1.7000     0.0950     1.5900     0.0900     1.5050  
   30.0      0.2500     1.7500     0.2200     1.8850     0.1250     1.9350     0.1200     1.4800     0.1100     1.6650     0.1200     1.7300     0.1050     1.7000     0.0950     1.6250     0.0950     1.5300  
   40.0      0.2500     1.7500     0.1100     1.8850     0.1250     1.9350     0.1200     1.4800     0.1100     1.6350     0.1000     1.7300     0.1050     1.7000     0.0950     1.5900     0.0900     1.5050  
   50.0      0.2500     1.7500     0.2200     1.8850     0.1250     1.9350     0.1200     1.4800     0.1100     1.6350     0.1000     1.7300     0.1050     1.7000     0.0950     1.5900     0.0950     1.5050  
   60.0      0.2500     1.7500     0.1100     1.8850     0.1250     1.9350     0.1200     1.4800     0.1100     1.6350     0.1200     1.7300     0.1050     1.7000     0.0950     1.6000     0.0950     1.5050  
   70.0      0.2500     1.7500     0.1100     1.8850     0.1250     1.9350     0.1200     1.4800     0.1100     1.6350     0.1000     1.7300     0.0900     1.7000     0.0850     1.5800     0.0900     1.5000  
   80.0      0.2500     1.7500     0.1100     1.8850     0.1250     1.9350     0.1200     1.4800     0.1100     1.6350     0.1000     1.7300     0.1050     1.7000     0.0950     1.5900     0.0900     1.5050  
   90.0      0.2500     1.7500     0.1100     1.8850     0.1250     1.9350     0.1200     1.4800     0.1100     1.6350     0.1000     1.7300     0.1050     1.7000     0.0950     1.5900     0.0900     1.5050  
   99.9      0.2500     1.7500     0.1100     1.8850     0.1250     1.9350     0.1200     1.4800     0.1100     1.6350     0.1000     1.7300     0.1050     1.7000     0.0950     1.5900     0.0900     1.5000  
