 Timestep  Gas-r=1.0  Liq-r=1.0  Gas-r=1.5  Liq-r=1.5  Gas-r=2.0  Liq-r=2.0  Gas-r=2.5  Liq-r=2.5  Gas-r=3.0  Liq-r=3.0  Gas-r=3.5  Liq-r=3.5  Gas-r=4.0  Liq-r=4.0  Gas-r=4.5  Liq-r=4.5  Gas-r=5.0  Liq-r=5.0 
   0.5       0.2500     1.7500     0.3300     0.5550     0.3750     1.9350     0.3950     0.5200     0.3850     1.6900     0.3850     1.7300     0.4050     1.8900     0.3950     1.8100     0.3700     1.5400  
   1.0       0.2500     1.7500     0.3300     0.5550     0.3750     1.9350     0.3950     0.5200     0.3850     1.6900     0.3850     1.8550     0.3900     1.8900     0.3950     1.8350     0.3600     1.7100  
   1.5       0.2500     1.7500     0.3300     0.5550     0.3750     1.9350     0.3950     0.5200     0.3850     1.9150     0.3850     1.8550     0.3900     1.8900     0.3800     1.9250     0.3450     1.8000  
   2.0       0.2500     1.7500     0.3300     0.5550     0.3750     1.9350     0.3950     0.5200     0.3600     1.9950     0.3650     1.8550     0.3750     1.8900     0.3550     1.9350     0.3300     1.8000  
   2.5       0.2500     1.7500     0.3300     0.5550     0.3750     1.9350     0.3600     0.5200     0.3600     1.9950     0.3450     1.8550     0.3550     1.8900     0.3450     1.9600     0.3300     1.8000  
   3.0       0.2500     1.7500     0.3300     0.5550     0.3750     1.9350     0.3600     0.5200     0.3300     1.9950     0.3250     1.8550     0.3250     1.8900     0.3200     1.9600     0.3100     1.8000  
   3.5       0.2500     1.7500     0.3300     0.5550     0.3750     1.9350     0.3200     0.5200     0.3300     1.9950     0.3250     1.8550     0.3100     1.8900     0.3050     1.9750     0.2900     1.8000  
   4.0       0.2500     1.7500     0.3300     0.5550     0.3100     1.9350     0.3200     0.5200     0.3050     1.9950     0.3050     1.8550     0.3100     1.8900     0.3050     1.9600     0.2750     1.8000  
   4.5       0.2500     1.7500     0.3300     0.5550     0.3100     1.9350     0.3200     0.5200     0.3050     1.9700     0.2850     1.8550     0.2950     1.8900     0.2800     1.9350     0.2600     1.8000  
   5.0       0.2500     1.7500     0.3300     0.5550     0.3100     1.9350     0.2750     1.9950     0.2750     1.9700     0.2850     1.8550     0.2650     1.8900     0.2550     1.9350     0.2500     1.7900  
