 Timestep  Gas-r=1.0  Liq-r=1.0  Gas-r=1.5  Liq-r=1.5  Gas-r=2.0  Liq-r=2.0  Gas-r=2.5  Liq-r=2.5  Gas-r=3.0  Liq-r=3.0  Gas-r=3.5  Liq-r=3.5  Gas-r=4.0  Liq-r=4.0  Gas-r=4.5  Liq-r=4.5  Gas-r=5.0  Liq-r=5.0 
   10.0      0.2500     0.7500     0.3300     0.7750     0.3750     0.5600     0.3950     0.5550     0.3850     0.5550     0.5300     0.5700     0.5000     0.5600     0.4800     0.5650     0.4700     0.5650  
   20.0      0.2500     0.7500     0.3300     0.7750     0.3750     0.5600     0.3950     0.5550     0.4700     0.5550     0.4850     0.5700     0.4650     0.5600     0.4400     0.5550     0.4200     0.5550  
   30.0      0.2500     0.7500     0.3300     0.7750     0.3750     0.5600     0.3950     0.5550     0.3850     1.0250     0.4650     0.5700     0.4650     0.9800     0.4400     1.0200     0.4050     0.9150  
   40.0      0.2500     0.7500     0.3300     0.7750     0.3750     1.1250     0.3950     0.5550     0.3850     1.0250     0.4450     1.0600     0.4350     1.0000     0.4400     1.0200     0.3950     0.9400  
   50.0      0.2500     0.7500     0.3300     0.7750     0.3750     1.1850     0.3950     0.5550     0.3850     1.0250     0.4450     1.0800     0.4200     1.0150     0.4150     1.0350     0.3850     0.9700  
   60.0      0.2500     0.7500     0.3300     0.7750     0.3750     1.1850     0.4800     0.5550     0.3850     1.0250     0.4450     1.1200     0.4050     1.0000     0.4050     1.0350     0.3700     0.9450  
   70.0      0.2500     0.7500     0.3300     0.7750     0.3750     1.1250     0.3950     0.5550     0.3850     1.0250     0.4650     1.0600     0.4350     1.0000     0.4150     1.0200     0.3850     0.9400  
   80.0      0.2500     1.5000     0.3300     0.7750     0.3750     1.1850     0.4350     0.5550     0.3850     1.0250     0.4250     1.0800     0.4200     1.0150     0.4050     1.0200     0.3700     0.9450  
   90.0      0.2500     0.7500     0.3300     0.7750     0.3750     1.1850     0.3950     0.5550     0.3850     1.0250     0.4450     1.0800     0.4200     1.0150     0.4050     1.0350     0.3850     0.9600  
   99.9      0.2500     1.5000     0.3300     0.7750     0.3750     1.1250     0.4350     0.5550     0.3850     1.0250     0.4250     1.0800     0.4200     1.0150     0.4050     1.0200     0.3600     0.9600  
