 Timestep  Gas-r=1.0  Liq-r=1.0  Gas-r=1.5  Liq-r=1.5  Gas-r=2.0  Liq-r=2.0  Gas-r=2.5  Liq-r=2.5  Gas-r=3.0  Liq-r=3.0  Gas-r=3.5  Liq-r=3.5  Gas-r=4.0  Liq-r=4.0  Gas-r=4.5  Liq-r=4.5  Gas-r=5.0  Liq-r=5.0 
  200.0      0.2500     0.7500     0.3300     0.5550     0.3750     0.5600     0.3950     0.5550     0.3850     0.5550     0.4850     0.5700     0.4800     0.5600     0.4800     0.5550     0.4350     0.5550  
  400.0      0.2500     0.7500     0.3300     0.5550     0.3750     0.5600     0.3950     0.5550     0.3850     0.5550     0.4850     0.5700     0.4650     0.5600     0.4650     0.5550     0.4350     0.5550  
  600.0      0.2500     0.7500     0.3300     0.5550     0.3750     0.5600     0.3950     0.5550     0.3850     0.5550     0.4850     0.5700     0.4650     0.5600     0.4800     0.5550     0.4350     0.5550  
  800.0      0.2500     0.7500     0.3300     0.5550     0.3750     0.5600     0.3950     0.5550     0.3850     0.5550     0.4850     0.5700     0.4800     0.5600     0.4800     0.5550     0.4550     0.5550  
  1000.0     0.2500     0.7500     0.3300     0.5550     0.3750     0.5600     0.3950     0.5550     0.3850     0.5550     0.5100     0.5700     0.4800     0.5600     0.4650     0.5550     0.4350     0.5550  
  1200.0     0.2500     0.7500     0.3300     0.5550     0.3750     0.5600     0.3950     0.5550     0.3850     0.5550     0.4850     0.5700     0.4800     0.5600     0.4800     0.5550     0.4500     0.5550  
  1399.9     0.2500     0.7500     0.3300     0.5550     0.3750     0.5600     0.3950     0.5550     0.3850     0.5550     0.4850     0.5700     0.4800     0.5600     0.4900     0.5550     0.4500     0.5550  
  1599.9     0.2500     0.7500     0.3300     0.5550     0.3750     0.5600     0.3950     0.5550     0.3850     0.5550     0.4850     0.5700     0.4800     0.5600     0.4800     0.5550     0.4350     0.5550  
  1799.9     0.2500     0.7500     0.3300     0.5550     0.3750     0.5600     0.3950     0.5550     0.3850     0.5550     0.4850     0.5700     0.4800     0.5600     0.4800     0.5550     0.4500     0.5550  
  1999.9     0.2500     0.7500     0.3300     0.5550     0.3750     0.5600     0.3950     0.5550     0.3850     0.5550     0.4850     0.5700     0.4800     0.5600     0.4650     0.5550     0.4350     0.5550  
  1999.9     0.2500     0.7500     0.3300     0.5550     0.3750     0.5600     0.3950     0.5550     0.3850     0.5550     0.4850     0.5700     0.4800     0.5600     0.4650     0.5550     0.4350     0.5550  
