 Timestep  Gas-r=1.0  Liq-r=1.0  Gas-r=1.5  Liq-r=1.5  Gas-r=2.0  Liq-r=2.0  Gas-r=2.5  Liq-r=2.5  Gas-r=3.0  Liq-r=3.0  Gas-r=3.5  Liq-r=3.5  Gas-r=4.0  Liq-r=4.0  Gas-r=4.5  Liq-r=4.5  Gas-r=5.0  Liq-r=5.0 
  200.0      0.2500     1.7500     0.3300     0.5550     0.3750     0.5600     0.3950     1.5550     0.3850     1.6650     0.3850     1.7300     0.4350     1.7150     0.4300     1.6500     0.3850     1.5400  
  400.0      0.2500     1.7500     0.3300     0.5550     0.3750     0.5600     0.3950     1.5550     0.3850     1.6650     0.3850     1.7300     0.4200     1.7150     0.3950     1.6650     0.3700     1.5400  
  600.0      0.2500     1.7500     0.3300     0.5550     0.3750     1.9350     0.3950     1.5550     0.3850     1.6650     0.3850     1.7300     0.4050     1.7150     0.3950     1.6500     0.3700     1.5400  
  800.0      0.2500     1.7500     0.3300     0.5550     0.3750     1.9350     0.3950     1.5550     0.3850     1.6900     0.3850     1.7300     0.3900     1.7300     0.3800     1.6750     0.3450     1.5450  
  1000.0     0.2500     1.7500     0.3300     1.9950     0.3750     1.9350     0.3950     1.5550     0.3850     1.6900     0.3850     1.7300     0.3750     1.7300     0.3800     1.6750     0.3450     1.5450  
  1200.0     0.2500     1.7500     0.3300     1.9950     0.3750     1.9350     0.3950     1.5550     0.3850     1.6900     0.3850     1.7300     0.3750     1.7300     0.3550     1.6750     0.3400     1.5450  
  1399.9     0.2500     1.7500     0.3300     1.9950     0.3750     1.9350     0.3950     1.5550     0.3850     1.6900     0.3650     1.7300     0.3550     1.7300     0.3550     1.6750     0.3400     1.5450  
  1599.9     0.2500     1.7500     0.3300     1.9950     0.3750     1.9350     0.3600     1.5550     0.3600     1.6900     0.3650     1.7300     0.3550     1.7300     0.3550     1.6750     0.3200     1.5450  
  1799.9     0.2500     1.7500     0.3300     1.9950     0.3750     1.9350     0.3600     1.5550     0.3600     1.6900     0.3650     1.7300     0.3550     1.7300     0.3450     1.6750     0.3300     1.5450  
  1999.9     0.2500     1.7500     0.3300     1.9950     0.3750     1.9350     0.3600     1.5550     0.3600     1.6900     0.3450     1.7300     0.3400     1.7300     0.3300     1.6750     0.3200     1.5450  
  1999.9     0.2500     1.7500     0.3300     1.9950     0.3750     1.9350     0.3600     1.5550     0.3600     1.6900     0.3450     1.7300     0.3400     1.7300     0.3300     1.6750     0.3200     1.5450  
